epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,613.432,1.59573,2.19294,1.56139,0.0249,0.03813,0.00737,0.00315,3.5553,5.61306,3.6625,0.000550522,0.000550522,0.000550522
2,766.837,1.74641,2.00499,1.6672,0.3109,0.24238,0.16729,0.06799,2.05292,7.84196,2.29798,0.0010749,0.0010749,0.0010749
3,918.806,1.68562,1.85378,1.6105,0.29868,0.18789,0.12883,0.05131,2.39527,5.1938,2.58237,0.00156784,0.00156784,0.00156784
4,1070.93,1.66028,1.76447,1.5924,0.37919,0.36581,0.30384,0.14726,1.80319,2.45578,1.82938,0.00152554,0.00152554,0.00152554
5,1222.03,1.54428,1.61086,1.51945,0.50509,0.37106,0.3729,0.16462,1.81994,2.3508,1.78343,0.00147839,0.00147839,0.00147839
6,1372.97,1.48004,1.44273,1.45678,0.60574,0.41804,0.45453,0.22346,1.71843,1.79988,1.66998,0.00143124,0.00143124,0.00143124
7,1524.95,1.40422,1.33635,1.40798,0.58843,0.48043,0.48332,0.23872,1.59676,1.8633,1.54328,0.00138409,0.00138409,0.00138409
8,1677.04,1.36593,1.24866,1.37364,0.61864,0.55849,0.5733,0.31231,1.50399,1.28409,1.43205,0.00133693,0.00133693,0.00133693
9,1828.77,1.33437,1.17586,1.35511,0.69081,0.56053,0.64138,0.33954,1.50696,1.20166,1.4326,0.00128978,0.00128978,0.00128978
10,1980.37,1.30161,1.10873,1.34011,0.61879,0.57271,0.57677,0.31054,1.50948,1.23281,1.4511,0.00124263,0.00124263,0.00124263
11,2131.52,1.2564,1.05454,1.31449,0.6796,0.61438,0.64567,0.34815,1.38826,1.14944,1.34273,0.00119548,0.00119548,0.00119548
12,2283.04,1.23458,0.99581,1.29266,0.74305,0.69359,0.71949,0.38196,1.51588,1.05158,1.45747,0.00114832,0.00114832,0.00114832
13,2434.01,1.21708,0.97222,1.28123,0.74023,0.65828,0.70822,0.36015,1.48973,1.08806,1.41265,0.00110117,0.00110117,0.00110117
14,2584.79,1.18286,0.92748,1.25214,0.74288,0.64828,0.71964,0.44122,1.19607,0.93079,1.22721,0.00105402,0.00105402,0.00105402
15,2736.17,1.15117,0.89705,1.23598,0.76351,0.72004,0.77878,0.46228,1.20541,0.84015,1.23299,0.00100687,0.00100687,0.00100687
16,2888.42,1.14686,0.8651,1.23894,0.79722,0.71923,0.78642,0.46887,1.21506,0.80233,1.23547,0.000959716,0.000959716,0.000959716
17,3040.18,1.13625,0.84616,1.22456,0.79475,0.68982,0.75641,0.43466,1.21245,0.95312,1.24655,0.000912563,0.000912563,0.000912563
18,3190.68,1.10158,0.81766,1.20282,0.79662,0.73606,0.78531,0.47847,1.22067,0.82044,1.23776,0.000865411,0.000865411,0.000865411
19,3343.07,1.0716,0.78692,1.18572,0.79884,0.73805,0.80539,0.4877,1.18688,0.8088,1.212,0.000818259,0.000818259,0.000818259
20,3494.82,1.05447,0.7573,1.18763,0.86452,0.72374,0.80684,0.51382,1.10439,0.73958,1.16199,0.000771107,0.000771107,0.000771107
21,3646.68,1.04594,0.74967,1.17051,0.78718,0.77466,0.81823,0.51738,1.12922,0.7343,1.20461,0.000723954,0.000723954,0.000723954
22,3798.53,1.01758,0.71337,1.15138,0.82018,0.75652,0.81657,0.53831,1.02116,0.67768,1.12742,0.000676802,0.000676802,0.000676802
23,3950.62,1.00759,0.69472,1.14224,0.85405,0.77665,0.84587,0.55352,1.06614,0.65037,1.15071,0.00062965,0.00062965,0.00062965
24,4102.59,1.01128,0.70604,1.14789,0.8236,0.80789,0.84521,0.55288,1.06094,0.6602,1.13311,0.000582497,0.000582497,0.000582497
25,4254.53,0.97168,0.66427,1.12437,0.87199,0.80246,0.85971,0.57248,1.00017,0.62359,1.10315,0.000535345,0.000535345,0.000535345
26,4401.05,0.90522,0.56108,1.12128,0.85523,0.80288,0.85582,0.59901,0.92097,0.6154,1.08134,0.000488193,0.000488193,0.000488193
27,4548.73,0.87135,0.54007,1.09809,0.87344,0.81335,0.86263,0.59364,0.93505,0.62062,1.06794,0.000441041,0.000441041,0.000441041
28,4696.15,0.84208,0.5106,1.0733,0.86429,0.81889,0.87291,0.57283,1.07993,0.61599,1.1485,0.000393888,0.000393888,0.000393888
29,4842.51,0.82078,0.49564,1.06425,0.88348,0.81966,0.88286,0.60812,0.96579,0.55915,1.08088,0.000346736,0.000346736,0.000346736
30,4989.74,0.79983,0.47566,1.05552,0.87799,0.83225,0.88335,0.6247,0.89423,0.54587,1.04183,0.000299584,0.000299584,0.000299584
31,5136.97,0.7705,0.46423,1.02599,0.91774,0.8153,0.88578,0.63367,0.879,0.5323,1.04294,0.000252431,0.000252431,0.000252431
32,5284.24,0.74511,0.44182,1.01635,0.87409,0.85759,0.88581,0.6341,0.89733,0.53134,1.05445,0.000205279,0.000205279,0.000205279
33,5431.26,0.71604,0.42926,0.99859,0.88208,0.84248,0.88388,0.65784,0.78591,0.52025,1.00396,0.000158127,0.000158127,0.000158127
34,5578.06,0.69855,0.41208,0.99259,0.88626,0.84246,0.89482,0.66365,0.77978,0.50496,1.00072,0.000110975,0.000110975,0.000110975
35,5726.03,0.68516,0.40607,0.98902,0.8844,0.84823,0.8921,0.66332,0.7851,0.50359,1.00344,6.38223e-05,6.38223e-05,6.38223e-05
